,Advert_No,Price,Room_Count,Meter_Square,Build_Age,Town,Neighbourhood
1307,81846-1539,                2500000                 ,6,250,9,Selçuklu,Hacıkaymak
1308,129814-102,                940000                 ,4,120,20,Selçuklu,Cumhuriyet
1309,134611-43,                2750000                 ,4,160,25,Ereğli,Gülbahçe
1310,97933-135,                650000                 ,2,60,5,Meram,Köyceğiz
1311,112034-202,                1850000                 ,6,200,18,Selçuklu,MehmetAkif
1312,106960-180,                850000                 ,4,135,23,Karatay,Şemsitebrizi
1313,132282-47,                1250000                 ,4,160,3,Kulu,Kemaliye
1314,92343-655,                2300000                 ,4,160,0,Ereğli,MehmetAkif
1315,60956-1396,                1650000                 ,4,155,16,Selçuklu,Feritpaşa
1316,66464-395,                650000                 ,3,100,40,Meram,Sahibiata
1317,112892-698,                715000                 ,3,120,25,Ereğli,Türbe
1318,130544-42,                1250000                 ,4,165,18,Selçuklu,Dumlupınar
1319,134878-16,                2450000                 ,5,170,0,Karatay,Köprübaşı
1320,125942-68,                920000                 ,2,70,0,Ereğli,Toros
1321,121431-836,                1550000                 ,3,120,5,Meram,Kozağaç
1322,125652-429,                2050000                 ,4,165,0,Selçuklu,Parsana
1323,127826-288,                8500000                 ,12,584,20,Meram,Melikşah
1324,66538-1233,                2325000                 ,5,210,0,Karatay,Ulubatlıhasan
1325,112660-607,                1350000                 ,3,145,1,Ereğli,BatıElagözlü
1326,0-40480281,                2500000                 ,4,165,4,Ereğli,Gülbahçe
1327,99983-559,                6000000                 ,5,245,0,Selçuklu,SilleAk
